compound_name,pubchem_id,isomeric_smiles,source,flavor
palmitic acid,985,CCCCCCCCCCCCCCCC(=O)O,flavorDB,fatty
palmitic acid,985,CCCCCCCCCCCCCCCC(=O)O,flavorDB,slightly waxy
Dl-phenylalanine,994,C1=CC=C(C=C1)CC(C(=O)O)N,flavorDB,bitter
phenol,996,C1=CC=C(C=C1)O,flavorDB,phenol
phenol,996,C1=CC=C(C=C1)O,flavorDB,plastic
phenol,996,C1=CC=C(C=C1)O,flavorDB,rubber
phenol,996,C1=CC=C(C=C1)O,flavorDB,phenolic
phenylpyruvic acid,997,C1=CC=C(C=C1)CC(=O)C(=O)O,flavorDB,almond
phenylpyruvic acid,997,C1=CC=C(C=C1)CC(=O)C(=O)O,flavorDB,acidic
phenylpyruvic acid,997,C1=CC=C(C=C1)CC(=O)C(=O)O,flavorDB,green
phenylpyruvic acid,997,C1=CC=C(C=C1)CC(=O)C(=O)O,flavorDB,sweet
phenylpyruvic acid,997,C1=CC=C(C=C1)CC(=O)C(=O)O,flavorDB,honey
phenylpyruvic acid,997,C1=CC=C(C=C1)CC(=O)C(=O)O,flavorDB,weedy
phenylpyruvic acid,997,C1=CC=C(C=C1)CC(=O)C(=O)O,flavorDB,phenolic
phenylacetaldehyde,998,C1=CC=C(C=C1)CC=O,flavorDB,hyacinth
phenylacetaldehyde,998,C1=CC=C(C=C1)CC=O,flavorDB,honey
phenylacetaldehyde,998,C1=CC=C(C=C1)CC=O,flavorDB,clover
phenylacetaldehyde,998,C1=CC=C(C=C1)CC=O,flavorDB,sweet
phenylacetaldehyde,998,C1=CC=C(C=C1)CC=O,flavorDB,hawthorne
phenylacetaldehyde,998,C1=CC=C(C=C1)CC=O,flavorDB,cocoa
phenylacetaldehyde,998,C1=CC=C(C=C1)CC=O,flavorDB,grapefruit
phenylacetaldehyde,998,C1=CC=C(C=C1)CC=O,flavorDB,green
phenylacetaldehyde,998,C1=CC=C(C=C1)CC=O,flavorDB,peanut
phenylacetaldehyde,998,C1=CC=C(C=C1)CC=O,flavorDB,floral
phenylacetaldehyde,998,C1=CC=C(C=C1)CC=O,flavorDB,bitter
phenylacetic Acid,999,C1=CC=C(C=C1)CC(=O)O,flavorDB,honeysuckle
phenylacetic Acid,999,C1=CC=C(C=C1)CC(=O)O,flavorDB,sour
phenylacetic Acid,999,C1=CC=C(C=C1)CC(=O)O,flavorDB,waxy
phenylacetic Acid,999,C1=CC=C(C=C1)CC(=O)O,flavorDB,floral
phenylacetic Acid,999,C1=CC=C(C=C1)CC(=O)O,flavorDB,sweet
phenylacetic Acid,999,C1=CC=C(C=C1)CC(=O)O,flavorDB,honey
phenylacetic Acid,999,C1=CC=C(C=C1)CC(=O)O,flavorDB,civet
phenylacetic Acid,999,C1=CC=C(C=C1)CC(=O)O,flavorDB,flower
phenethylamine,1001,C1=CC=C(C=C1)CCN,flavorDB,ammoniacal
phenethylamine,1001,C1=CC=C(C=C1)CCN,flavorDB,fishy
phosphoric acid,1004,Op(=O)(O)O,flavorDB,bland
"1,2-propanediol",1030,CC(CO)O,flavorDB,alcoholic
"1,2-propanediol",1030,CC(CO)O,flavorDB,very slight
"1,2-propanediol",1030,CC(CO)O,flavorDB,odorless
1-propanol,1031,CCCO,flavorDB,alcoholic
1-propanol,1031,CCCO,flavorDB,fermented
1-propanol,1031,CCCO,flavorDB,alcohol
1-propanol,1031,CCCO,flavorDB,musty
1-propanol,1031,CCCO,flavorDB,fusel
1-propanol,1031,CCCO,flavorDB,pungent
1-propanol,1031,CCCO,flavorDB,peanut
propionic acid,1032,CCC(=O)O,flavorDB,cheesy
propionic acid,1032,CCC(=O)O,flavorDB,soy
propionic acid,1032,CCC(=O)O,flavorDB,acidic
propionic acid,1032,CCC(=O)O,flavorDB,vinegar
propionic acid,1032,CCC(=O)O,flavorDB,rancid
propionic acid,1032,CCC(=O)O,flavorDB,pungent
pyrazole,1048,C1=CNN=C1,flavorDB,bitter
pyridine,1049,C1=CC=NC=C1,flavorDB,sour
pyridine,1049,C1=CC=NC=C1,flavorDB,putrid
pyridine,1049,C1=CC=NC=C1,flavorDB,fishy
pyridine,1049,C1=CC=NC=C1,flavorDB,rancid
pyridine,1049,C1=CC=NC=C1,flavorDB,sickening
pyridine,1049,C1=CC=NC=C1,flavorDB,amine
pyruvic acid,1060,CC(=O)C(=O)O,flavorDB,acetic
pyruvic acid,1060,CC(=O)C(=O)O,flavorDB,sour
pyruvic acid,1060,CC(=O)C(=O)O,flavorDB,sharp
pyruvic acid,1060,CC(=O)C(=O)O,flavorDB,caramellic
dimethyl sulfide,1068,CSC,flavorDB,sulfur
dimethyl sulfide,1068,CSC,flavorDB,sulfurous
dimethyl sulfide,1068,CSC,flavorDB,cabbage
dimethyl sulfide,1068,CSC,flavorDB,onion
dimethyl sulfide,1068,CSC,flavorDB,gasoline
dimethyl sulfide,1068,CSC,flavorDB,vegetable
dimethyl sulfide,1068,CSC,flavorDB,sulfury
